,Z_Real [Ω],Z_Imag [Ω]
0,468.48774737745,-85.32206768721227
1,471.6945577067299,-97.07646812072775
2,475.3886573225691,-110.43685606809268
3,479.6499776599706,-125.61846059388081
4,484.5730998977753,-142.86409913128045
5,490.2701962021029,-162.44697152998003
6,496.87486273343563,-184.67436089670014
7,504.54654217144986,-209.890578154272
8,513.4761365198425,-238.4804832283575
9,523.8928645535354,-270.8728095870086
10,536.0725919627632,-307.5429526069232
11,550.3481879492706,-349.0156340575975
12,567.1217603760145,-395.8654891530341
13,586.8797761379669,-448.7168549147264
14,610.2108586878229,-508.24020670190464
15,637.8272580245175,-575.1459218552932
16,670.5889987032858,-650.1708720397678
17,709.5320494044768,-734.0596107954045
18,755.8983800885742,-827.5340430035533
19,811.1678093237201,-931.251749310259
20,877.0866104764099,-1045.7450686348527
21,955.6919854729596,-1171.3445769946845
22,1049.320254054083,-1308.074739038158
23,1160.5923492019356,-1455.5277903125009
24,1292.3614415487991,-1612.7150658125142
25,1447.60680557506,-1777.904782980812
26,1629.257768323946,-1948.464189342183
27,1839.9318968967373,-2120.732325124685
28,2081.590330002466,-2289.9696987675566
29,2355.1289653582307,-2450.4328781166505
30,2659.9508372791934,-2595.619144373277
31,2993.603967091647,-2718.710688676504
32,3351.58408029822,-2813.200162943183
33,3727.399858468114,-2873.6230551694716
34,4112.957486666101,-2896.265842290063
35,4499.230169441238,-2879.6919867551533
36,4877.1260198948075,-2824.9553594995473
37,5238.354332939937,-2735.443107225646
38,5576.140739196794,-2616.3911597251595
39,5885.659898707227,-2474.193899959768
40,6164.147063410564,-2315.6663625322385
41,6410.73921703474,-2147.3935778376363
42,6626.126505301485,-1975.2586986903998
43,6812.132562831088,-1804.166032453116
44,6971.298275555383,-1637.942713557643
45,7106.522558484366,-1479.3758077215325
46,7220.791007467044,-1330.3268208625484
47,7316.985073729716,-1191.8890940084782
48,7397.766526141162,-1064.550334482731
49,7465.517864962759,-948.34405925831
50,7522.321944242946,-842.9812994836116
